senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,gender_F,gender_M,internet_service_DSL,internet_service_Fiber optic,internet_service_No,contract_Month-to-month,contract_One year,contract_Two year,payment_method_Bank transfer (automatic),payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,churn
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1231974757617591,1,0,1,0,0,1,0,0,0,0,1,0,No
0.0,0.0,0.0,0.6497444828057255,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3996686690995073,0,1,1,0,0,0,1,0,0,0,0,1,No
0.0,0.0,0.0,0.0497519637871241,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3686143332785481,0,1,1,0,0,1,0,0,0,0,0,1,Yes
0.0,0.0,0.0,0.7667314905909031,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.25174103054391683,0,1,1,0,0,0,1,0,1,0,0,0,No
0.0,0.0,0.0,0.0497519637871241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5360698062108201,1,0,0,1,0,1,0,0,0,0,1,0,Yes
0.0,0.0,0.0,0.24007987746108356,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.817557161295581,1,0,0,1,0,1,0,0,0,0,1,0,Yes
0.0,0.0,1.0,0.4956904250574305,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7157479251382728,0,1,0,1,0,1,0,0,0,1,0,0,No
0.0,0.0,0.0,0.2861143725768439,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12215165893686186,1,0,1,0,0,1,0,0,0,0,0,1,No
0.0,1.0,0.0,0.577158862668874,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8669749902501693,1,0,0,1,0,1,0,0,0,0,1,0,Yes
0.0,0.0,1.0,0.920291677555515,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.39166622377489263,0,1,1,0,0,0,1,0,1,0,0,0,No
0.0,1.0,1.0,0.3471906800900553,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3293671245992805,0,1,1,0,0,1,0,0,0,0,0,1,No
0.0,0.0,0.0,0.4013792551953058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075600789911771105,0,1,0,0,1,0,0,1,0,1,0,0,No
0.0,1.0,0.0,0.8864558080665539,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8242845210628509,0,1,0,1,0,0,1,0,0,1,0,0,No
0.0,0.0,0.0,0.8053650839901318,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8564343903092536,0,1,0,1,0,1,0,0,1,0,0,0,Yes
0.0,0.0,0.0,0.537727157297909,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8736785796181066,0,1,0,1,0,1,0,0,0,0,1,0,No
0.0,1.0,1.0,0.9767584652509993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9476921530671515,1,0,0,1,0,0,0,1,0,1,0,0,No
0.0,0.0,0.0,0.8332309387360852,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025843097075092414,1,0,0,0,1,0,1,0,0,0,0,1,No
0.0,0.0,1.0,0.9923125145751528,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8851631649744633,0,1,0,1,0,0,0,1,1,0,0,0,No
0.0,1.0,1.0,0.2861143725768439,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.38215294929582233,1,0,1,0,0,1,0,0,0,1,0,0,Yes
0.0,0.0,0.0,0.48100955046764615,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.7249489822311211,1,0,0,1,0,1,0,0,0,0,1,0,No
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2246304725577326,0,1,1,0,0,1,0,0,0,0,1,0,Yes
0.0,1.0,0.0,0.32771654054653043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016714885995252227,0,1,0,0,1,0,1,0,1,0,0,0,No
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02047671631299386,0,1,0,0,1,1,0,0,0,0,0,1,Yes
0.0,1.0,0.0,0.8864558080665539,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.4291106395313349,1,0,1,0,0,0,0,1,0,1,0,0,No
0.0,1.0,1.0,0.8053650839901318,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.42612125962100644,0,1,1,0,0,1,0,0,0,1,0,0,No
