model,factor,value
Logistic,paperless_billing_No,0.1101
Logistic,payment_method_Credit card (automatic),0.0864
Logistic,partner_Yes,0.0862
Logistic,payment_method_Mailed check,0.0846
Logistic,tech_support_Yes,0.0830
Logistic,payment_method_Bank transfer (automatic),0.0829
Logistic,multiple_lines_No,0.0798
Logistic,total_charges,0.0747
Logistic,online_security_Yes,0.0736
Logistic,contract_One year,0.0667
Logistic,online_backup_Yes,0.0636
Logistic,dependents_Yes,0.0626
Logistic,partner_No,0.0604
Logistic,senior_citizen_No,0.0598
Logistic,contract_Two year,0.0578
Logistic,multiple_lines_Yes,0.0548
Logistic,paperless_billing_Yes,0.0520
Logistic,payment_method_Electronic check,0.0501
Logistic,device_protection_Yes,0.0466
Logistic,online_backup_No,0.0378
Logistic,streaming_tv_No,0.0366
Logistic,internet_service_DSL,0.0361
Logistic,device_protection_No,0.0348
Logistic,tech_support_No,0.0338
Logistic,streaming_movies_No internet service,0.0333
Logistic,streaming_tv_No internet service,0.0333
Logistic,device_protection_No internet service,0.0333
Logistic,online_backup_No internet service,0.0333
Logistic,tech_support_No internet service,0.0333
Logistic,online_security_No internet service,0.0333
Logistic,internet_service_No,0.0333
Logistic,senior_citizen_Yes,0.0321
Logistic,streaming_movies_No,0.0316
Logistic,streaming_tv_Yes,0.0290
Logistic,online_security_No,0.0279
Logistic,dependents_No,0.0276
Logistic,streaming_movies_Yes,0.0235
Logistic,contract_Month-to-month,0.0219
Logistic,multiple_lines_No phone service,0.0201
Logistic,monthly_charges,0.0130
Logistic,internet_service_Fiber optic,0.0061
K-Nearest Neighbors,total_charges,0.0520
K-Nearest Neighbors,monthly_charges,0.0179
K-Nearest Neighbors,payment_method_Mailed check,0.0158
K-Nearest Neighbors,payment_method_Electronic check,0.0132
K-Nearest Neighbors,payment_method_Credit card (automatic),0.0122
K-Nearest Neighbors,contract_One year,0.0102
K-Nearest Neighbors,dependents_No,0.0100
K-Nearest Neighbors,payment_method_Bank transfer (automatic),0.0094
K-Nearest Neighbors,contract_Month-to-month,0.0094
K-Nearest Neighbors,online_backup_Yes,0.0079
K-Nearest Neighbors,online_security_Yes,0.0072
K-Nearest Neighbors,tech_support_Yes,0.0071
K-Nearest Neighbors,contract_Two year,0.0071
K-Nearest Neighbors,online_security_No,0.0066
K-Nearest Neighbors,multiple_lines_No,0.0063
K-Nearest Neighbors,dependents_Yes,0.0060
K-Nearest Neighbors,online_backup_No,0.0060
K-Nearest Neighbors,partner_No,0.0059
K-Nearest Neighbors,tech_support_No,0.0057
K-Nearest Neighbors,paperless_billing_Yes,0.0057
K-Nearest Neighbors,partner_Yes,0.0057
K-Nearest Neighbors,paperless_billing_No,0.0054
K-Nearest Neighbors,senior_citizen_No,0.0054
K-Nearest Neighbors,multiple_lines_Yes,0.0037
K-Nearest Neighbors,device_protection_No,0.0034
K-Nearest Neighbors,device_protection_Yes,0.0033
K-Nearest Neighbors,streaming_tv_No,0.0033
K-Nearest Neighbors,internet_service_DSL,0.0027
K-Nearest Neighbors,streaming_movies_No,0.0021
K-Nearest Neighbors,streaming_tv_Yes,0.0020
