senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,total_charges,gender_F,gender_M,internet_service_DSL,internet_service_Fiber optic,internet_service_No,contract_Month-to-month,contract_One year,contract_Two year,payment_method_Bank transfer (automatic),payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
0.0,0.0,0.0,0.7467165703705313,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3202802450476149,0.6130657817810459,1,0,1,0,0,1,0,0,1,0,0,0
0.0,0.0,0.0,0.0909403957994292,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3640962168412539,0.2104450868647147,0,1,1,0,0,1,0,0,0,1,0,0
0.0,1.0,0.0,0.8602376838401232,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6052616745220937,0.8021962090725265,1,0,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.7667314905909031,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3766400427228963,0.6607316349413417,0,1,1,0,0,0,0,1,1,0,0,0
0.0,1.0,1.0,0.8602376838401232,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8295679830966344,0.8582305504585802,1,0,0,1,0,0,1,0,0,0,0,1
1.0,0.0,0.0,0.1587688878906996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2863527276412664,0.2163355250446619,1,0,1,0,0,1,0,0,0,0,1,0
0.0,1.0,0.0,0.8950307844930321,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8161151516967826,0.8842784644793027,0,1,0,1,0,0,1,0,1,0,0,0
0.0,0.0,0.0,0.3277165405465304,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7824242446920362,0.4748364230430479,1,0,0,1,0,1,0,0,0,0,1,0
1.0,1.0,0.0,0.3471906800900553,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8016865894774587,0.5043736635996053,0,1,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.36590996542709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161771155465649,0.2745801989940382,0,1,0,0,1,0,1,0,0,0,0,1
0.0,1.0,0.0,0.3839512352318975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059416740448243,0.268035498008716,0,1,0,0,1,0,1,0,0,0,0,1
0.0,0.0,0.0,0.1267439425207783,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6287138600799411,0.2792108325614397,1,0,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.7365203006549813,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3776426767142443,0.6411360750451617,1,0,1,0,0,0,1,0,0,0,1,0
0.0,1.0,1.0,0.9367645159985818,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9090602685599052,0.9208867701365328,0,1,0,1,0,0,0,1,0,1,0,0
0.0,0.0,0.0,0.9529594471554486,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732384716084024,0.5690618330640763,0,1,0,0,1,0,0,1,0,0,0,1
1.0,1.0,0.0,0.2861143725768439,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5812683536798439,0.4049232487062916,0,1,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.8147539374979358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772088117218095,0.6293258680632734,0,1,1,0,0,0,1,0,1,0,0,0
0.0,1.0,0.0,0.5642768936191539,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3167433279997829,0.5320997987069314,0,1,1,0,0,0,1,0,0,1,0,0
1.0,1.0,1.0,0.9529594471554486,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8679328386681979,0.9275726333850632,1,0,0,1,0,0,1,0,0,0,1,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925372479350273,0.1124115878538735,0,1,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.0497519637871241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151012977007883,0.0357035917740936,0,1,0,0,1,1,0,0,0,0,1,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3248251256062502,0.072902747705539,1,0,1,0,0,1,0,0,0,0,1,0
1.0,0.0,0.0,0.4346085497692368,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6803315392718176,0.543892818516945,1,0,0,1,0,1,0,0,0,0,1,0
1.0,0.0,0.0,0.1267439425207783,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6720687600962486,0.2959775172921295,1,0,0,1,0,1,0,0,0,0,1,0
0.0,1.0,0.0,0.0497519637871241,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.624320379407256,0.1943925620308232,1,0,0,1,0,1,0,0,1,0,0,0
0.0,0.0,1.0,0.7862708497641429,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0247705330705745,0.4659458169937746,0,1,0,0,1,0,1,0,0,1,0,0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6759578506838221,0.1227559888035047,1,0,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.0497519637871241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0220875691397102,0.0373864940223825,1,0,0,0,1,0,1,0,0,0,0,1
0.0,0.0,0.0,0.4013792551953058,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7094484897939236,0.5321499431627553,1,0,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.4182492059464703,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0700625243067963,0.3372686996204705,1,0,0,0,1,1,0,0,0,0,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0210137573204771,0.0047543479125623,0,1,0,0,1,1,0,0,1,0,0,0
0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6228554988033589,0.8768235857762567,0,1,1,0,0,0,0,1,0,1,0,0
0.0,1.0,0.0,0.3471906800900553,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5900885074149497,0.460046661695414,1,0,1,0,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.8864558080665539,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2700880426885405,0.6474368417822869,1,0,1,0,0,0,1,0,0,0,0,1
0.0,0.0,1.0,0.3277165405465304,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.527695667165588,0.4312247897958013,0,1,1,0,0,1,0,0,0,0,0,1
0.0,0.0,1.0,0.0909403957994292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279871691908671,0.0908011909049736,0,1,0,0,1,1,0,0,0,0,0,1
0.0,0.0,0.0,0.6497444828057255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0156392528613008,0.3939972008256203,0,1,0,0,1,1,0,0,0,0,0,1
0.0,0.0,0.0,0.577158862668874,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.8228432231341736,0.6729656051454431,0,1,0,1,0,0,1,0,0,0,1,0
0.0,1.0,1.0,0.8950307844930321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013486874963036,0.5019475484393343,1,0,0,0,1,0,0,1,0,1,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0151012977007883,0.00291535963522,0,1,0,0,1,1,0,0,0,0,0,1
0.0,0.0,0.0,0.1267439425207783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0263792467648091,0.1212930383861257,0,1,0,0,1,1,0,0,0,1,0,0
0.0,1.0,0.0,0.6381539641543058,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2746665752841613,0.5378912091202909,0,1,1,0,0,1,0,0,0,1,0,0
