senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,gender_F,gender_M,internet_service_DSL,internet_service_Fiber optic,internet_service_No,contract_Month-to-month,contract_One year,contract_Two year,payment_method_Bank transfer (automatic),payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check
0.0,0.0,0.0,0.7467165703705313,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3202802450476149,1,0,1,0,0,1,0,0,1,0,0,0
0.0,0.0,0.0,0.0909403957994292,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3640962168412539,0,1,1,0,0,1,0,0,0,1,0,0
0.0,1.0,0.0,0.8602376838401232,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6052616745220937,1,0,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.7667314905909031,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3766400427228963,0,1,1,0,0,0,0,1,1,0,0,0
0.0,1.0,1.0,0.8602376838401232,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8295679830966344,1,0,0,1,0,0,1,0,0,0,0,1
1.0,0.0,0.0,0.1587688878906996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2863527276412664,1,0,1,0,0,1,0,0,0,0,1,0
0.0,1.0,0.0,0.8950307844930321,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.8161151516967826,0,1,0,1,0,0,1,0,1,0,0,0
0.0,0.0,0.0,0.3277165405465304,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7824242446920362,1,0,0,1,0,1,0,0,0,0,1,0
1.0,1.0,0.0,0.3471906800900553,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8016865894774587,0,1,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.36590996542709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161771155465649,0,1,0,0,1,0,1,0,0,0,0,1
0.0,1.0,0.0,0.3839512352318975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059416740448243,0,1,0,0,1,0,1,0,0,0,0,1
0.0,0.0,0.0,0.1267439425207783,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6287138600799411,1,0,0,1,0,1,0,0,0,0,1,0
0.0,0.0,0.0,0.7365203006549813,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.3776426767142443,1,0,1,0,0,0,1,0,0,0,1,0
0.0,1.0,1.0,0.9367645159985818,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9090602685599052,0,1,0,1,0,0,0,1,0,1,0,0
0.0,0.0,0.0,0.9529594471554486,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0732384716084024,0,1,0,0,1,0,0,1,0,0,0,1
1.0,1.0,0.0,0.2861143725768439,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5812683536798439,0,1,0,1,0,1,0,0,0,0,1,0
0.0,1.0,1.0,0.8147539374979358,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2772088117218095,0,1,1,0,0,0,1,0,1,0,0,0
0.0,1.0,0.0,0.5642768936191539,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3167433279997829,0,1,1,0,0,0,1,0,0,1,0,0
1.0,1.0,1.0,0.9529594471554486,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.8679328386681979,1,0,0,1,0,0,1,0,0,0,1,0
